prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
Cyberpunk style image of a Tesla car reflection in rain,outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,outputs/txt2img-samples,False,False,40,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a photograph of an astronaut riding a horse,outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,425473,1,False,full,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a photograph of an astronaut riding a horse,outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,527119,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
a photograph of an astronaut riding a horse,outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,503799,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
a photograph of an astronaut riding a horse,outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,42,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
"a highly detailed epic cinematic concept art CG render digital painting artwork: Sadie Sink. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,42,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
"octane rendered character portrait of mitsurugi, 3 d, octane render, depth of field, unreal engine 5, concept art, vibrant colors, glow, trending on artstation, ultra high detail, ultra realistic, cinematic lighting, focused, 8 k",outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,42,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
"octane rendered character portrait of mitsurugi, 3 d, octane render, depth of field, unreal engine 5, concept art, vibrant colors, glow, trending on artstation, ultra high detail, ultra realistic, cinematic lighting, focused, 8 k",outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,42,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
"octane rendered character portrait of mitsurugi, 3 d, octane render, depth of field, unreal engine 5, concept art, vibrant colors, glow, trending on artstation, ultra high detail, ultra realistic, cinematic lighting, focused, 8 k",outputs/txt2img-samples,False,False,20,False,0.0,4,512,512,4,8,1,0,7.5,cuda,,42,1,True,full,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
